"Repository Name","Owner/Author","Description","HTML URL","Primary Language","Created At Date","Star Count"
"java_dsa","Visali-BRS","Created this repository for GUVI-HCL training at Aditya university in final year.","https://github.com/Visali-BRS/java_dsa","Java","2025-06-09T06:21:12Z","0"
"Coding_Blocks_Launchpad","ashish2125it","Welcome to the official repository for the C++ Launchpad course by Coding Blocks conducted at Aditya University. This repository is designed to help students stay updated with all the learning materials covered in class.","https://github.com/ashish2125it/Coding_Blocks_Launchpad","C++","2025-04-19T08:58:28Z","2"
"java_dsa_lu","Lucky123948","This Repo is created for GUVI training program by fourth year students in aditya university","https://github.com/Lucky123948/java_dsa_lu","","2025-06-09T08:45:54Z","0"
"java","Dharani490","this is the purpouse of trianing in aditya university","https://github.com/Dharani490/java","","2025-06-09T06:21:05Z","0"
"java_dsa","taruni200","This repo wad created for the training for aditya university final year students on java dsa and problem solving in this GUVI training","https://github.com/taruni200/java_dsa","","2025-06-09T06:24:59Z","0"
"java_dsa","Srilakshmi2122","Learning java_dsa through training from GUVI at Aditya University","https://github.com/Srilakshmi2122/java_dsa","","2025-06-09T06:21:05Z","0"
"java_dsa","22A91A04N4","Learning java-dsa at aditya university through placement training by GUVI","https://github.com/22A91A04N4/java_dsa","","2025-06-09T06:20:50Z","0"
"aditya-university","manoj402kumar","https://manoj402kumar.github.io/aditya-university/","https://github.com/manoj402kumar/aditya-university","HTML","2025-03-01T17:43:06Z","1"
"aditya-university","Kolaparthysaiaditya","","https://github.com/Kolaparthysaiaditya/aditya-university","","2025-04-18T09:35:31Z","0"
"Aditya-Engineering","BhavnaChaudhary","Aditya Engineering Website","https://github.com/BhavnaChaudhary/Aditya-Engineering","","2025-04-13T17:13:47Z","0"
"AdityaEngineeringWeb","BhavnaChaudhary","Aditya Engineering Website","https://github.com/BhavnaChaudhary/AdityaEngineeringWeb","","2025-04-13T18:44:57Z","0"
"ECE_EXPLORATIONS","ashokjujjavarapu28","I have completed ""ECE Explorations"" project as part of my internship on Amazon Web Services. In this project I have developed a web application about Department of Electronics and Communication Engineering at Aditya University and deployed on Amazon Web Services.","https://github.com/ashokjujjavarapu28/ECE_EXPLORATIONS","HTML","2025-02-10T12:45:11Z","0"
"Aditya-University-FRS","lohith-1435","","https://github.com/lohith-1435/Aditya-University-FRS","","2025-02-02T17:02:42Z","0"
"aditya-engineering","nikitathakor","","https://github.com/nikitathakor/aditya-engineering","","2024-12-06T05:24:38Z","0"
"Drive-Ready-Statistics","Siddardh116","The projects is about the DriveReady Statistics. So what is this DriveReady Statistics? It is a program which is offered in Technical Hub Aditya University Surampalem Andhra Pradesh. So this data consists of the students details like the technology that they have taken and the test and the activity marks that they have secured.","https://github.com/Siddardh116/Drive-Ready-Statistics","","2024-08-11T12:45:47Z","0"
"AdityaUniversity","kalebulot0805","","https://github.com/kalebulot0805/AdityaUniversity","JavaScript","2024-07-02T00:19:01Z","0"
"Aditya-Engineering-Consultant","gilangfp","","https://github.com/gilangfp/Aditya-Engineering-Consultant","Blade","2023-06-21T04:14:50Z","0"
"Aditya-Engineering-College","pavanredde11","Demo Website","https://github.com/pavanredde11/Aditya-Engineering-College","","2023-01-14T05:30:31Z","0"
"RRTSP2019","samjag1116","Course Material Repository for ""Recent Research Trends in Signal Processing - 23rd April to 27th April 2019"" Organized by Dept. of ECE Aditya Engineering College (Autonomous) Surampalem East Godavari District Andhra Pradesh","https://github.com/samjag1116/RRTSP2019","","2019-04-13T15:20:37Z","0"
"RRTSP-2019","aecece","Github Repository for ""One Week FDP on Recent Research Trends in Signal Processing"" 23rd April to 27th April 2019 Organized by Dept. of ECE Aditya Engineering College (Autonomous) Surampalem East Godavari District Andhra Pradesh","https://github.com/aecece/RRTSP-2019","","2019-04-13T15:34:31Z","1"
"Results-portal","NarasimhaVelpula","This project is used to display the results of Aditya Engineering college Ece students","https://github.com/NarasimhaVelpula/Results-portal","PHP","2018-07-07T01:19:42Z","0"
